name,name_ta,type,subtype,ward_no,lon,lat
Cancer Institute,,landmark,hospital,174.0,80.239884,13.0061338
Central Institute of Petrochemicals Engineering and Technology,,landmark,college,170.0,80.2052179,13.0141314
Central Leather Research Institute,மத்திய தோல் ஆராய்ச்சி நிறுவனம்,landmark,college,172.0,80.24402541888409,13.00901045
Central Polytechnic College,மையப் பாலிடெக்னிக் கல்லூரி,landmark,college,172.0,80.24689851226316,12.99955365
Chellammal College,,landmark,college,170.0,80.2210416779676,13.01420005
Chennai Boys Higher Secondary School,,landmark,school,142.0,80.21933344981468,13.025451050000001
Chennai Clinical Centres,,landmark,hospital,175.0,80.2516271336967,12.99419975
Chennai Corporation 24 Hours Maternity Hospital,,landmark,hospital,142.0,80.22412781839571,13.020882199999999
Chennai Eye Care Hospital,,landmark,hospital,179.0,80.2246302,12.9789449
Chennai Girls Higher Secondary School,,landmark,school,142.0,80.2185692634617,13.02556745
Chennai Higher Secondary School,,landmark,school,178.0,80.218948,12.9852163
Chennai Primary School,,landmark,school,179.0,80.2320468,12.9801464
Chennai Primary School,,landmark,school,172.0,80.24452745024671,13.01660225
Chennai Skin Foundation,,landmark,hospital,173.0,80.2594702,13.0205681
Chennai Skin Foundation and Yesudian Research Institute,,landmark,hospital,173.0,80.2592924,13.0210394
Chettinad Vidyashram School,,landmark,school,173.0,80.26869780582544,13.01728395
Chitra Maternity andSurgival Centre,,landmark,hospital,142.0,80.22291325272698,13.0234132
Church,,landmark,place_of_worship,179.0,80.2270337,12.9790968
Church Building,,landmark,place_of_worship,172.0,80.24458160156685,13.01695795
Church of St. Michael and All Angels,சர்ச் ஆப் ஸ்ட. மைக்கேல் அண்ட் ஆல் ஏஞ்சல்ஸ்,landmark,place_of_worship,176.0,80.26810982533094,13.0085962
College of Engineering,,landmark,college,171.0,80.23486565294965,13.0110983
"College of Engineering, Guindy",கிண்டி பொறியியல் கல்லூரி,landmark,college,171.0,80.2365020055197,13.0136638
Corpn School,,landmark,school,181.0,80.27038300000001,12.993212549999999
Corporation High School,,landmark,school,175.0,80.25379507570605,13.001804100000001
Corporation Hospital,,landmark,hospital,181.0,80.2615046,12.9915347
Corporation Middle School,,landmark,school,176.0,80.262611248149,13.00280245
Corporation Primary School,,landmark,school,175.0,80.2562413309244,13.00494865
Corporation School,,landmark,school,175.0,80.2547165860851,12.99001325
Council of Scientific and Industrial Research - CSIR Taramani,,landmark,college,180.0,80.2447703508365,12.9882253
D.A.V Public School,,landmark,school,179.0,80.22260771007349,12.97235015
Dandhesswaram Temple,,landmark,place_of_worship,179.0,80.22387293423066,12.9859456
Dastageer Sahib Jamia Masjid,,landmark,place_of_worship,171.0,80.22720501034591,13.02562135
Devi karumari amman temple,,landmark,place_of_worship,178.0,80.21688902997906,12.978312899999999
Diana Nursery & Primary School,,landmark,school,142.0,80.2180065,13.0231287
Dr.Agarwals Eye Hospital,,landmark,hospital,177.0,80.2176077,12.9832681
Dr.Kamakshi Memorial Hospital,,landmark,hospital,175.0,80.2520867,13.0022187
ECI Zion Church,,landmark,place_of_worship,170.0,80.20607775123229,13.02110455
Ekkattuthangal,ஈக்காட்டுத்தாங்கல்,landmark,,170.0,80.2054236,13.0169222
Elai Amman Kovil,,landmark,place_of_worship,176.0,80.27271334660395,13.003330550000001
Foreshore Estate Bus Terminus,,landmark,bus_station,173.0,80.2763268,13.0224016
Fortis Malar Hospital,,landmark,hospital,175.0,80.25869973146646,13.01017585
G. K. Shetty Hindu Vidhyalaya School,,landmark,school,177.0,80.20720032423799,12.9847845
G. R. Hospital & Fertility Centre,,landmark,hospital,177.0,80.2068955,12.9952982
GANESH TEMPLE,,landmark,place_of_worship,173.0,80.25355092819018,13.021812
Ganapathy temple,,landmark,place_of_worship,178.0,80.21684626686637,12.977569200000001
Gangai Amman Koil,,landmark,place_of_worship,181.0,80.26308682054524,12.9960247
Gas Hospital,,landmark,hospital,175.0,80.2540981,13.003026
Global Hospitals,,landmark,hospital,175.0,80.25147023141668,13.00980225
Good Shepard hospital,,landmark,hospital,180.0,80.2343492,12.9810842
Government Arts College for Men,,landmark,college,171.0,80.23914202952457,13.029659800000001
"Government Higher Secondary School, Velachery",,landmark,school,178.0,80.21997596527498,12.987819349999999
"Government Hospital, Adyar",,landmark,hospital,176.0,80.2562121,12.9979497
Government Quarter Mosque,,landmark,place_of_worship,171.0,80.2312857,13.02224
Greenways Road,,landmark,,173.0,80.2527292,13.0215846
Guindy Bus Stand,,landmark,bus_station,170.0,80.2107931,13.0090591
Guindy Estate MTC Terminus,,landmark,bus_station,170.0,80.21079086537013,13.009257
Guru Nanak College,,landmark,college,174.0,80.22155836289596,12.99175455
Guru Nanak School,,landmark,school,174.0,80.22097352675046,12.99068985
HEALTH,,landmark,hospital,171.0,80.2395364,13.0135999
Hale and Healthy Hospitals,,landmark,hospital,182.0,80.2590077,12.9757686
Harishri Vidyalayam,,landmark,school,173.0,80.26285151777164,13.02238345
Health Centre,,landmark,hospital,171.0,80.2393143445486,13.013578500000001
Helios Hospital Pvt Ltd,,landmark,hospital,178.0,80.2189144,12.9855882
House of Prayer CSI Church,,landmark,place_of_worship,172.0,80.2450524,13.0060827
Huma Specialists Hospital and Research Centre Pvt Ltd,,landmark,hospital,171.0,80.235353,13.0282655
IMPCOPS Traditional Hospital,,landmark,hospital,181.0,80.25720399982345,12.993165300000001
Indira Eye Hospital,,landmark,hospital,173.0,80.2622388,13.0222055
Indira Nagar,இந்திரா நகர்,landmark,,175.0,80.249716,12.9960623
Infant Jesus Shrine,குழந்தை இயேசு ஆலயம்,landmark,place_of_worship,170.0,80.2113106,13.0151562
Institute for Energy Studies (IES),,landmark,college,171.0,80.2326511,13.0106523
Iswarya Fertility Center,,landmark,hospital,175.0,80.2504829,13.0064894
Jayam Polyclinc,,landmark,hospital,181.0,80.2603345,12.9958562
Jumma Masjid,,landmark,place_of_worship,170.0,80.2012952,13.0202517
KRMM School and Kumararani Meena Mutthaiah College,,landmark,college,175.0,80.25183001821728,13.0107855
Kalakshetra School of Fine Arts,,landmark,college,181.0,80.26599786798346,12.9874243
Kamaatchi Amman Kovil,,landmark,place_of_worship,142.0,80.21993133524155,13.02001895
Kanamapet Government Hospital,,landmark,hospital,171.0,80.2261208,13.0298989
Kasturiba Nagar,,landmark,,175.0,80.2478604,13.0053823
Kaya Skin clinic,,landmark,hospital,179.0,80.2223505,12.9767775
Kendriya Vidyalaya IIT Chennai,,landmark,school,174.0,80.2328239950313,12.992685999999999
Koothadum pilliyar temple,,landmark,place_of_worship,142.0,80.22120494999999,13.02503235
Kotturpuram,கோட்டூர்புரம்,landmark,,175.0,80.2484517,13.0137182
Kurasani Peer Masjid,,landmark,place_of_worship,176.0,80.25648859007543,12.9988797
Lakshmi Maternity Hospital,,landmark,hospital,175.0,80.2528444,12.9938673
Lets do Something - Activity center,,landmark,school,179.0,80.221575,12.9758373
Lord Ganesh Temple,,landmark,place_of_worship,173.0,80.26365031274149,13.0236248
Lord Perumal and Anjaneyar Temple,,landmark,place_of_worship,169.0,80.2014418,12.9676432
Lord Vinayagar Temple,,landmark,place_of_worship,169.0,80.2011722,12.9699486
M N Eye Hospital,,landmark,hospital,176.0,80.2603599,12.996767
Madhya Kailash,மத்திய கைலாசம்,landmark,place_of_worship,172.0,80.24708215575399,13.00624095
Marudeeswarar Temple,,landmark,place_of_worship,182.0,80.2599847,12.9848728
Masjid Allah,மஸ்ஜித் அல்லாஹ்,landmark,place_of_worship,176.0,80.27273210419847,13.003742549999998
Masjid e Noor,,landmark,place_of_worship,182.0,80.2586208,12.9753235
Masjid ul Mubarak,,landmark,place_of_worship,170.0,80.2088174,13.0150033
Masjid ul mubarak,,landmark,place_of_worship,170.0,80.2088169,13.015029
Meenakshi sundareshwar temple,,landmark,place_of_worship,,80.20206715,12.965529400000001
Mehar Ashramam,,landmark,place_of_worship,142.0,80.22230805,13.021107
Mint Hospitals,,landmark,hospital,176.0,80.258796,13.0013494
Miracle AG Church,,landmark,place_of_worship,181.0,80.25940627372952,12.99477915
Muthumariamman temple,,landmark,place_of_worship,182.0,80.2550194,12.9780803
NGO Colony Bus Terminus,,landmark,bus_station,177.0,80.2068161,12.9947894
Nagamariamman Puthu Koil,,landmark,place_of_worship,175.0,80.2536087,13.0118858
Nandhini Hospital,,landmark,hospital,179.0,80.2247932,12.9784706
Nataraja Devara Sabai,,landmark,place_of_worship,142.0,80.2249449,13.0235867
National Institute of Fashion Technology - NIFT Chennai,,landmark,college,180.0,80.25157446210116,12.98404105
National Institute of Technical Teachers' Training and Research,,landmark,college,180.0,80.24943559115604,12.9877156
Nawab Fazeelathunnisa Begum Sahiba Masjid,,landmark,place_of_worship,171.0,80.23493889716215,13.0281047
Nawab Sadatullah Khan's Jumma Masjid,,landmark,place_of_worship,142.0,80.21867216720372,13.020203550000002
New Life Assembly of God,,landmark,place_of_worship,170.0,80.22446276201836,13.015638299999999
New Prince Matriculation Higher Secondary School,,landmark,school,168.0,80.19638688928327,12.9772401
Olcott Memorial HSS,,landmark,school,176.0,80.2677285,13.0034528
Om Sri Sakthi Vinayagar Temple,,landmark,place_of_worship,178.0,80.2137168,12.9735804
Ortho clinic,,landmark,hospital,179.0,80.2286587,12.9800456
Our Lady of Perpetual Help Church,,landmark,place_of_worship,179.0,80.22301254999999,12.982762600000001
Padmapriya Hospital Pvt. Ltd.,,landmark,hospital,175.0,80.2537027,12.9996223
Palani Balaji Fertility Centre,,landmark,hospital,171.0,80.2235084,13.0122123
Pamban Sitthar Samadhi,பாம்பன் சித்தர் சமாதி,landmark,place_of_worship,181.0,80.26331944262529,12.9901372
Panchamukha Hanuman Temple,,landmark,place_of_worship,180.0,80.23806794549017,12.98259245
Pathala Vigneshvarar Temple,பாதாள விக்னேஸ்வரர் கோவில்,landmark,place_of_worship,169.0,80.1907604,12.9711569
Patrician College of Arts & Science,,landmark,college,175.0,80.24991954491321,13.01355675
Peeliamman Temple,ஸ்ரீ பீலியம்மன் ஆலயம்,landmark,place_of_worship,174.0,80.2373556,12.9933852
Periyapalayathamman Koil,,landmark,place_of_worship,175.0,80.25570423426733,12.9974724
Perumal Temple,,landmark,place_of_worship,178.0,80.22000938347588,12.98755595
Perungudi,பெருங்குடி,landmark,,179.0,80.2321916,12.9760584
Pilayar koil,,landmark,place_of_worship,169.0,80.2128187,12.9648528
Pillaiyar Koil,,landmark,place_of_worship,142.0,80.2204763,13.020091
Pillayar Kovil,,landmark,place_of_worship,142.0,80.22047475,13.0200441
Ponmalligai Hospital Pvt Ltd,,landmark,hospital,177.0,80.2061465,12.9925116
Prashanth Hospitals,,landmark,hospital,179.0,80.2214698,12.9784544
Prince Matric Hr Sec School,,landmark,school,169.0,80.1944308,12.9694641
Prince Srivari Vidyalaya,,landmark,school,169.0,80.1942822,12.969047
Promed Hospital,,landmark,hospital,182.0,80.2582571,12.9751423
Puzhudivakkam,,landmark,,169.0,80.2054236,12.9771578
Puzhuthivakkam Bus Stand,,landmark,bus_station,169.0,80.2029314,12.9739799
R.G. Stone Urological Research Institute,,landmark,hospital,142.0,80.2278288,13.0240792
Raja Muthiah School,,landmark,school,173.0,80.2612586492729,13.0224917
Ramar Temple,,landmark,place_of_worship,169.0,80.2090431,12.9674844
Rani Meyammai School,,landmark,college,175.0,80.25729839631498,13.00987225
Ratnagirishwarar Temple,,landmark,place_of_worship,176.0,80.26719328987934,12.99665615
Relief Dental Hospitals,,landmark,hospital,182.0,80.258947,12.978253
SAN Academy,,landmark,school,178.0,80.2123879,12.9757851
SMK Hospital,,landmark,hospital,181.0,80.260187,12.986383
Sachidanantha Ashram,,landmark,place_of_worship,179.0,80.2309198,12.9789947
Sacred Heart College,,landmark,college,182.0,80.25546964786041,12.98178605
Saibaba Temple,,landmark,place_of_worship,182.0,80.2629518,12.9745263
Saidapet,சைதாப்பேட்டை,landmark,,142.0,80.2237191,13.0233098
Saidapet MTC Terminus,,landmark,bus_station,171.0,80.22766860398332,13.0234129
Saint Louis School for the Deaf and Blind,,landmark,school,175.0,80.24946681049916,13.01219055
Saint Michaels Academy,,landmark,school,175.0,80.25032471109634,13.01060725
Saint Patricks HSS,,landmark,school,175.0,80.25094753753586,13.0120719
Sankara School,,landmark,school,182.0,80.2599537582933,12.9765207
Santosh Hospital Pvt Ltd,,landmark,hospital,181.0,80.2691898,12.995229
Sarswathi Hospital,,landmark,hospital,169.0,80.2067733,12.9653846
School Church,,landmark,place_of_worship,142.0,80.2206968,13.020153
School of Architecture and Planning,,landmark,college,171.0,80.23981680474175,13.0076864
Selliyamman temple,,landmark,place_of_worship,182.0,80.2541337,12.9793385
Shiva Vishnu Temple,,landmark,place_of_worship,176.0,80.2596654,13.0011706
Shiva Vishnu Temple,,landmark,place_of_worship,178.0,80.2179451,12.9715054
Shivasundar Hospital,,landmark,hospital,176.0,80.25747617980895,12.9977694
Shri A. Ganesan Matriculation Higher Secondary School,,landmark,school,179.0,80.22029218430043,12.97266145
Shri A. M. M. Murugappa Chettiar Research Centre,,landmark,college,180.0,80.24222928666327,12.9846518
Shri Venkateshwara Highter Secondary School,,landmark,school,169.0,80.1949092,12.9694645
Sishya,,landmark,school,176.0,80.25914236324508,13.00565065
Sivasakthi Matriculation School,சிவசக்தி மெட்ரிகுலேஷன் பள்ளி,landmark,school,178.0,80.2185153,12.9875802
Spastic Society of india,,landmark,school,180.0,80.25000526119103,12.984843999999999
Sri Adhinath jain Temple,,landmark,place_of_worship,142.0,80.22464654999999,13.02297545
Sri Anantha Padmanaba Swamy Temple,,landmark,place_of_worship,175.0,80.25727741988166,13.007803849999998
Sri Angalaparameswari temple,,landmark,place_of_worship,142.0,80.22242092471097,13.0222394
Sri Bhaktha Anjaneyar Sannadhi of Sri Prasanna venkatesa perumal temple,,landmark,place_of_worship,142.0,80.21962107297401,13.02237815
Sri Chaitanya Techno School,,landmark,school,178.0,80.21791495695471,12.9775619
Sri Dharmaraja Koil,,landmark,place_of_worship,142.0,80.22465378057939,13.02238945
Sri Jalakanteshwara swamy Temple,,landmark,place_of_worship,174.0,80.2418569,13.0019288
Sri Kadumbadi Chinnamman Temple,ஸ்ரீ கடும்பாடி சின்னம்மன் கோயில்,landmark,place_of_worship,142.0,80.21953950184502,13.0246905
Sri Kalyan Hospital,,landmark,hospital,175.0,80.2507134,13.0063976
Sri Krishna Balarama Temple,,landmark,place_of_worship,182.0,80.26736846976809,12.9820617
Sri Muthumariamman Allayam,ஸ்ரீ முத்துமாரியம்மன் ஆலயம்,landmark,place_of_worship,177.0,80.21776390188474,12.9867368
Sri Mylai Karpagavalli Matriculation Higher Secondary School,,landmark,school,176.0,80.25801955,12.9986398
Sri Naagaathamman Aalayam,,landmark,place_of_worship,170.0,80.20657363828244,13.02173615
Sri Prasanna Venkatesa Narasimha Perumal Sannadhi,,landmark,place_of_worship,142.0,80.21662745,13.0228564
Sri Prasanna Venkatesa Narasimha Perumal Temple,,landmark,place_of_worship,142.0,80.21667677490885,13.0228632
Sri Ramanjayaneya Temple,,landmark,place_of_worship,170.0,80.21590855060536,13.0200054
Sri Sankara Senior Secondary School,,landmark,school,176.0,80.26098458158842,13.0099192
Sri Sankara Vidyashram HSS,,landmark,school,182.0,80.2570356976154,12.98527105
Sri Sivasubramanya Swami Temple (Sengundha Kottam),ஸ்ரீ சிவசுப்ரமணிய சுவாமி கோயில் (செங்குந்த கோட்டம் ),landmark,place_of_worship,142.0,80.2201116563093,13.02192815
Sri Sivasubramiya Swamy Temple,,landmark,place_of_worship,142.0,80.22483476095448,13.02406745
Sri Soundareswarar Temple,,landmark,place_of_worship,142.0,80.22141281160056,13.02143635
Sri Varasiddhi Vinayagar Koil,,landmark,place_of_worship,142.0,80.22118012922624,13.0214338
St Antony School,,landmark,school,179.0,80.226075,12.9767972
St Louis Church,,landmark,place_of_worship,175.0,80.24920602308555,13.0109121
St Luke’s Church,,landmark,place_of_worship,173.0,80.2641007,13.0240079
St. Britto's Academy Senior Secondary School,செயின்ட் பிரிட்டோஸ் அகாடமி,landmark,school,177.0,80.21023156385898,12.9932335
St. Johns Matriculation School,,landmark,school,173.0,80.26726666651369,13.02487635
St. Marks Church,புனித மாற்கு தேவாலயம்,landmark,place_of_worship,177.0,80.2065651,12.9864443
St. Marks School,,landmark,school,177.0,80.206505,12.9868373
St. Savio Matriculation Higher secondary school,,landmark,school,179.0,80.22619180000001,12.9817436
St.Johns English School,,landmark,school,176.0,80.266308,13.0017
Starlight Abacus School,,landmark,school,176.0,80.2613841,13.0074771
Starlight Hospitals Pvt Ltd,,landmark,hospital,181.0,80.2601581,12.9864526
Subramanya Temple,அருள்மிகு சுப்பிரமணிய சுவாமி திருக்கோயில்,landmark,place_of_worship,177.0,80.2049757,12.9852789
Sukrthi Nursing Home,,landmark,hospital,169.0,80.2082964,12.9710287
Sunshine Senior Secondary School,,landmark,school,169.0,80.20920704557247,12.97353855
Tamil Nadu Government College of Classical Music,,landmark,college,173.0,80.26288682815513,13.016269999999999
Taramani,,landmark,bus_station,174.0,80.2405568568704,12.98551145
Teacher Training College,,landmark,college,171.0,80.22768849788383,13.0222863
Temple,விநாயகர் கோயில்,landmark,place_of_worship,174.0,80.2342045,12.9871921
Temple,,landmark,place_of_worship,170.0,80.2009643,13.0255652
Temple,,landmark,place_of_worship,179.0,80.2228626,12.9767763
Temple,,landmark,place_of_worship,175.0,80.25175945000001,12.99348755
Thandai Periyar Govt High School,,landmark,school,169.0,80.1970465,12.9705025
The Church of Jesus Christ of Latter-day Saints,தி சர்ச் ஆப் ஜீசஸ் கிறிஸ்ட் ஆப் லேட்டர்-டே செயிண்ட்ஸ்,landmark,place_of_worship,171.0,80.22638952258859,13.014872050000001
The Hindu Senior Secondary School,,landmark,school,175.0,80.25358845390369,12.997485999999999
The Institute of Mathematical Sciences,,landmark,college,180.0,80.2470141,12.9940844
The Institute of Road Transport,,landmark,college,180.0,80.24441499605464,12.9824933
The School Krishnamurti Foundation India,,landmark,school,176.0,80.26339628562127,13.006122300000001
Thirumudi Vinayagar Temple,,landmark,place_of_worship,182.0,80.2590403,12.9814033
Thiruvanmiyur Corporation School,,landmark,school,182.0,80.26107890104387,12.98135025
Thiruvanmiyur MTC Terminus,,landmark,bus_station,182.0,80.25934676180097,12.98680965
Tiruvanmiyur,திருவான்மியூர்,landmark,,180.0,80.2515865,12.9889822
Tt Ranganathan Clinical Research Foundation,,landmark,hospital,175.0,80.25501601577969,12.99255925
Uma Sankaran Siddha Hospital,,landmark,hospital,181.0,80.2624479,12.9916719
"University of Madras, Guindy Campus",,landmark,college,171.0,80.23890213543899,13.00961715
Vanavani Matriculation Higher Secondary School,,landmark,school,174.0,80.23866087449635,12.998415300000001
Varasiddhi Vinayagar Temple,,landmark,place_of_worship,171.0,80.2278856,13.014411
Varasiddhi Vinayakar Koil,,landmark,place_of_worship,176.0,80.2673166,13.0004947
Varasiddhi vinayagar,,landmark,place_of_worship,171.0,80.22788404020721,13.01441805
Vasan,,landmark,hospital,142.0,80.22577756247465,13.0217272
Vasan Eye Care Hospital,,landmark,hospital,175.0,80.2552541,13.0015307
Velachery,வேளச்சேரி,landmark,,179.0,80.2195082,12.9676192
Velachery K S Hospital,,landmark,hospital,178.0,80.2114016,12.9763914
Velachery SABA Hospital,,landmark,hospital,179.0,80.2298924,12.9862735
Vembaliamman Koil,வெம்பாளியம்மன் கோயில்,landmark,place_of_worship,181.0,80.2679528,12.9834049
Vidhya Sagara Brotherhood aided Middle School,,landmark,school,142.0,80.2260961,13.02414085
Vidya Ratna PTS Matriculation Higher Secondary School,,landmark,school,176.0,80.25834020458855,13.0001462
Vidya Vinaya Vinoda Matriculation Hr. Sec. School,,landmark,school,176.0,80.26599955733995,12.998972649999999
Vinayagar Temple,,landmark,place_of_worship,169.0,80.1990359,12.9685307
Wesley Church,,landmark,place_of_worship,174.0,80.21987649568327,13.007270349999999
Xcellent Care Hospital,,landmark,hospital,178.0,80.2184246249641,12.9856002
Xcellent Care Superspeciality Hospital,,landmark,hospital,178.0,80.2181782,12.9833895
YMCA chapel,,landmark,place_of_worship,171.0,80.23643724577062,13.0261669
Yoga Narasimhar Temple,,landmark,place_of_worship,178.0,80.2224743,12.9839182
corporation hospital,,landmark,hospital,182.0,80.25734142248936,12.98468905
sri naagammal temple,,landmark,place_of_worship,180.0,80.2410397942731,12.98611345
مسجد ہادی,ஹதீ மசூதி,landmark,place_of_worship,169.0,80.2079454,12.9726493
அண்ணா பல்கலைக்கழகம்,,landmark,college,171.0,80.2353736,13.0105838
அருள்மிகு வான்மீகி முனிவர் திருக்கோயில்,,landmark,place_of_worship,182.0,80.25971697595693,12.98639575
ஆந்திர மாநில சபா,,landmark,hospital,173.0,80.25956583456849,13.01743015
சின்னமலை,சின்னமலை,landmark,,170.0,80.2241669,13.0146634
சைதாப்பேட்டை,சைதாப்பேட்டை,landmark,,171.0,80.2281244,13.0239952
சைதாப்பேட்டை அரசு மருத்துவமனை,,landmark,hospital,142.0,80.22405105438145,13.020446249999999
மாரியம்மன் கோயில்,,landmark,place_of_worship,171.0,80.2262097,13.0141213
லிட்டில் மௌண்ட் பள்ளி,,landmark,place_of_worship,171.0,80.22711229667178,13.016250750000001
வழக்கு தீர்க்கும் ஸ்ரீ வராஹி வள்ளி அம்மன் ஆலயம்,,landmark,place_of_worship,171.0,80.2268606,13.0130478
AGS Officers Colony,,locality,neighbourhood,177.0,80.2097046,12.9789702
Achutan Nagar,,locality,locality,170.0,80.2010261,13.0202783
Adambakkam,ஆதம்பாக்கம்,locality,suburb,177.0,80.209121,12.9822215
Adyar,அடையாறு,locality,suburb,176.0,80.2577791,13.00645
Ambal Nagar,அம்பாள் நகர்,locality,locality,170.0,80.2044501,13.0183525
Arunachalapuram,,locality,neighbourhood,176.0,80.2608522,13.0087347
Baby Nagar,பேபி நகர்,locality,neighbourhood,179.0,80.2291946,12.9803651
Bakthavatchalam Nagar,,locality,neighbourhood,175.0,80.2530941,13.003406
Balaji Nagar,பாலாஜி நகர்,locality,neighbourhood,169.0,80.1905716,12.9721642
Balaji Nagar,பாலாஜி நகர்,locality,locality,170.0,80.2048683,13.0229157
Besant Nagar,பெசன்ட் நகர்,locality,suburb,176.0,80.2682259,12.9996907
Bhuvaneswary Nagar,,locality,neighbourhood,179.0,80.2219533,12.9699099
"Central Government Officers Quarters, General Pool Accomodation",,locality,neighbourhood,176.0,80.2652826,13.0021964
Damodarapuram,,locality,neighbourhood,176.0,80.2629813,13.0018073
Defence Colony,,locality,locality,170.0,80.1995027,13.0220072
Devendra Nagar,தேவேந்திர நகர்,locality,neighbourhood,182.0,80.25546,12.9787571
Dhandeeswaram,,locality,neighbourhood,179.0,80.224188,12.9826389
Dr Ambedkar Nagar,டாக்டர் அம்பேத்கர் நகர்,locality,neighbourhood,177.0,80.2074843,12.9900554
Ekkattuthangal,ஈக்காட்டுத்தாங்கல்,locality,suburb,170.0,80.2065506,13.0242453
GOCHS Colony,ஜிஓசிஹெச்எஸ் காலனி,locality,neighbourhood,176.0,80.2691711,12.9978724
Gandhinagar,காந்தி நகர்,locality,neighbourhood,175.0,80.2538632,13.0089932
Ganesh Nagar,கணேஷ் நகர்,locality,locality,182.0,80.2581619,12.9794114
