date,precipitation_mm
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.0
2015-04-30,0.0
2015-05-01,0.0
2015-05-02,0.0
2015-05-03,0.0
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,0.0
2015-05-08,0.0
2015-05-09,0.0
2015-05-10,0.0
2015-05-11,0.0
2015-05-12,0.0
2015-05-13,0.0
2015-05-14,7.317776679992676
2015-05-15,10.838922500610352
2015-05-16,5.262869834899902
2015-05-17,4.252029895782471
2015-05-18,1.7709107398986816
2015-05-19,0.0
2015-05-20,0.0
2015-05-21,0.0
2015-05-22,0.0
2015-05-23,0.0
2015-05-24,0.0
2015-05-25,0.0
2015-05-26,0.0
2015-05-27,0.0
2015-05-28,0.0
2015-05-29,0.0
2015-05-30,0.0
2015-05-31,0.0
2015-06-01,0.0
2015-06-02,0.5125365257263184
2015-06-03,0.6269209980964661
2015-06-04,0.0
2015-06-05,0.0
2015-06-06,0.0
2015-06-07,0.0
2015-06-08,0.0
2015-06-09,0.0
2015-06-10,2.591888189315796
2015-06-11,0.0
2015-06-12,21.212764739990234
2015-06-13,0.0
2015-06-14,0.0
2015-06-15,3.77919602394104
2015-06-16,0.0
2015-06-17,4.495973110198975
2015-06-18,0.10619513690471649
2015-06-19,0.972520649433136
2015-06-20,0.12428203970193863
2015-06-21,0.18805453181266785
2015-06-22,0.0
2015-06-23,0.0
2015-06-24,0.8168038725852966
2015-06-25,0.0
2015-06-26,0.0
2015-06-27,0.0
2015-06-28,12.005289077758789
2015-06-29,0.6911993622779846
2015-06-30,0.0
2015-07-01,1.6179144382476807
2015-07-02,0.0
2015-07-03,2.3892650604248047
2015-07-04,0.0
2015-07-05,0.0
2015-07-06,0.0
2015-07-07,0.0
2015-07-08,0.0
2015-07-09,0.0
2015-07-10,3.184950828552246
2015-07-11,10.914750099182129
2015-07-12,0.233261376619339
2015-07-13,0.0
2015-07-14,2.091984748840332
2015-07-15,0.0
2015-07-16,0.0
2015-07-17,0.0
2015-07-18,14.986717224121094
2015-07-19,28.969783782958984
2015-07-20,2.4625840187072754
2015-07-21,2.578331232070923
2015-07-22,3.726431369781494
2015-07-23,26.045560836791992
2015-07-24,18.264074325561523
2015-07-25,1.0366919040679932
2015-07-26,0.8210969567298889
2015-07-27,10.435151100158691
2015-07-28,2.7214508056640625
2015-07-29,11.857816696166992
2015-07-30,0.0
2015-07-31,0.0
2015-08-01,49.0052604675293
2015-08-02,8.548670768737793
2015-08-03,0.4575377404689789
2015-08-04,0.0
2015-08-05,57.47835159301758
2015-08-06,6.001195907592773
2015-08-07,0.3387664556503296
2015-08-08,4.742730617523193
2015-08-09,1.612557291984558
2015-08-10,0.0
2015-08-11,1.1306838989257812
2015-08-12,0.18946345150470734
2015-08-13,0.12227433919906616
2015-08-14,0.0
2015-08-15,0.0
2015-08-16,4.45148229598999
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-21,22.744306564331055
2015-08-22,5.10768985748291
2015-08-23,2.283533811569214
2015-08-24,0.0
2015-08-25,0.0
2015-08-26,0.0
2015-08-27,1.2237136363983154
2015-08-28,0.4872305393218994
2015-08-29,0.0
2015-08-30,1.4397574663162231
2015-08-31,6.251951217651367
2015-09-01,0.0
2015-09-02,0.0
2015-09-03,0.48132118582725525
2015-09-04,0.0
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.4344315826892853
2015-09-09,0.0
2015-09-10,34.96380615234375
2015-09-11,0.0
2015-09-12,0.423458069562912
2015-09-13,0.0
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
2015-09-18,4.169684410095215
2015-09-19,1.191238284111023
2015-09-20,0.0
2015-09-21,23.076536178588867
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,0.0
2015-09-25,0.0
2015-09-26,0.703469455242157
2015-09-27,0.0
2015-09-28,0.0
2015-09-29,0.846916139125824
2015-09-30,0.7141116261482239
2015-10-01,1.2703741788864136
2015-10-02,0.3387664556503296
2015-10-03,26.782793045043945
2015-10-04,0.0
2015-10-05,13.683220863342285
2015-10-06,1.0298089981079102
2015-10-07,0.0
2015-10-08,17.843036651611328
2015-10-09,0.9615378379821777
2015-10-10,3.1386210918426514
2015-10-11,19.067930221557617
2015-10-12,0.0
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.0
2015-10-17,0.0
2015-10-18,0.0
2015-10-19,2.657636880874634
2015-10-20,0.0
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.0
2015-10-24,7.810498237609863
2015-10-25,0.0
2015-10-26,0.15836171805858612
2015-10-27,0.8807749152183533
2015-10-28,13.864691734313965
2015-10-29,14.016804695129395
2015-10-30,13.943527221679688
2015-10-31,22.160602569580078
2015-11-01,13.767213821411133
2015-11-02,51.3507194519043
2015-11-03,0.0
2015-11-04,1.6596239805221558
2015-11-05,3.1100447177886963
2015-11-06,1.1768001317977905
2015-11-07,5.638203144073486
2015-11-08,39.083316802978516
2015-11-09,163.9369659423828
2015-11-10,50.274898529052734
2015-11-11,23.38483238220215
2015-11-12,71.5176010131836
2015-11-13,119.75122833251953
2015-11-14,11.220404624938965
2015-11-15,12.535018920898438
2015-11-16,263.13067626953125
2015-11-17,38.64551544189453
2015-11-18,0.0
2015-11-19,4.565871238708496
2015-11-20,38.14747619628906
2015-11-21,19.12055015563965
2015-11-22,14.639182090759277
2015-11-23,50.82603073120117
2015-11-24,134.61764526367188
2015-11-25,0.0
2015-11-26,0.2557831406593323
2015-11-27,0.0
2015-11-28,0.0
2015-11-29,5.0869598388671875
2015-11-30,26.063322067260742
2015-12-01,60.481048583984375
2015-12-02,349.6272888183594
2015-12-03,21.761253356933594
2015-12-04,11.872875213623047
2015-12-05,35.074440002441406
2015-12-06,20.92517852783203
2015-12-07,26.845359802246094
2015-12-08,0.0
2015-12-09,6.372719764709473
2015-12-10,3.1968235969543457
2015-12-11,0.0
2015-12-12,0.0
2015-12-13,0.0
2015-12-14,0.0
2015-12-15,0.0
2015-12-16,0.0
2015-12-17,0.0
2015-12-18,0.0
2015-12-19,0.0
2015-12-20,0.0
2015-12-21,0.0
2015-12-22,0.0
2015-12-23,0.0
2015-12-24,0.0
2015-12-25,0.0
2015-12-26,0.0
2015-12-27,0.0
2015-12-28,0.0
2015-12-29,0.0
2015-12-30,0.0
2015-12-31,0.0
